trial_number,num_filters,filter_sizes,hidden_dim,model_type,subtask,lr,dropout,num_epochs,patience,F1
0,67,"[7, 2, 7, 2]",77,CNN,a,2.0187903459204853e-05,0.11238628738836764,41,7,0.3943661971830986
1,113,"[5, 2]",13,CNN,a,6.176408277931454e-05,0.19249928100829533,21,8,0.475609756097561
2,16,"[6, 5, 6]",71,CNN,a,1.8676597142079583e-06,0.22952063249553867,18,10,0.0
3,167,[5],45,CNN,a,0.00018287935755483922,0.2542442745253647,30,6,0.4666666666666666
4,33,"[2, 3, 7, 4]",13,CNN,a,9.259457029081008e-06,0.059169454784542386,42,9,0.3609022556390977
5,70,"[3, 2, 8, 6]",48,CNN,a,1.8706758978187502e-05,0.4882053127002019,50,9,0.4527027027027027
6,111,"[2, 5, 5, 3, 5]",69,CNN,a,1.3066551526735823e-05,0.22140947606213712,14,8,0.3492063492063492
7,163,"[8, 5, 5, 4, 2]",29,CNN,a,0.00017331963823905022,0.17292816022677493,5,10,0.478494623655914
8,67,"[5, 8, 3, 8]",45,CNN,a,3.303761385942329e-06,0.29077924631778285,24,5,0.1437125748502994
9,49,[6],77,CNN,a,3.5597887090820316e-06,0.4119977867146158,36,5,0.343042071197411
10,199,"[8, 7, 3, 6, 2, 5]",97,CNN,a,0.0005986242915690831,0.022127414683091484,7,10,0.44029850746268656
11,136,"[4, 4]",14,CNN,a,0.00010232894845453964,0.14918808150831478,5,8,0.449438202247191
12,143,"[8, 6, 4, 5, 2, 8]",28,CNN,a,8.65663509072807e-05,0.34921613300706017,15,7,0.4615384615384615
13,113,"[4, 4]",30,CNN,a,0.0005627000511000532,0.14219629739341785,23,9,0.5035971223021581
14,179,"[4, 4, 2]",30,CNN,a,0.0009786277033727168,0.10174943804757036,29,9,0.5000000000000001
15,199,"[4, 4]",31,CNN,a,0.0008328085778782546,0.1054288054374643,31,9,0.49206349206349204
16,96,"[3, 4, 2]",36,CNN,a,0.0004205676673256089,0.06736199512496026,26,9,0.5
17,173,"[4, 3, 2]",61,CNN,a,0.00031759512304469097,0.01666291459091146,34,9,0.5096774193548387
18,134,"[3, 3]",60,CNN,a,0.0002961440159273746,0.02024163582062835,36,8,0.48763250883392223
19,96,[6],58,CNN,a,0.00024913798993827374,0.0066839197592191806,50,10,0.4660766961651917
20,152,"[4, 3, 4]",85,CNN,a,5.615828212381311e-05,0.30585710530716326,35,7,0.4716981132075471
21,179,"[4, 4, 2]",24,CNN,a,0.000815076401986081,0.11737960521894694,29,9,0.4814814814814815
22,181,"[3, 3]",38,CNN,a,0.0004687854538135144,0.0709056926863402,23,9,0.5045045045045045
23,122,"[3, 3]",41,CNN,a,0.00037468915797186437,0.05829088998465798,22,8,0.4797047970479705
24,180,"[2, 3]",20,CNN,a,0.0004548299499697257,0.1470979945479941,12,10,0.5
25,158,[3],55,CNN,a,0.0001426784570775539,0.05843027042438376,21,9,0.5159235668789809
26,154,[3],55,CNN,a,0.00013837119991592578,0.05211735970481986,19,9,0.4473684210526316
27,188,[2],66,CNN,a,4.0896966586146046e-05,0.0055016315627136325,33,8,0.4652567975830815
28,165,[3],53,CNN,a,0.00025708107652608147,0.08027141787546369,43,6,0.48433048433048426
29,150,"[3, 6, 4]",63,CNN,a,3.040132158360649e-05,0.09516374156772274,26,10,0.4753623188405798
30,190,"[2, 2, 3, 8, 8]",38,CNN,a,0.00012738692501947348,0.03696835329332798,11,7,0.4452296819787986
31,126,"[4, 3]",51,CNN,a,0.0005695512099571978,0.13712604764009254,23,9,0.49864498644986455
32,88,"[4, 4]",36,CNN,a,0.00021463149813270084,0.17747917886645093,18,9,0.5
33,167,"[5, 6]",80,CNN,a,0.0005615924823501997,0.12362740938391012,39,8,0.4825396825396826
34,173,[4],43,CNN,a,0.0002876416080891764,0.19974240021908657,20,10,0.515527950310559
35,174,[6],43,CNN,a,8.894749221182093e-05,0.19337855146795607,19,10,0.42214532871972316
36,190,[5],49,CNN,a,0.00031586542547123845,0.22270218346065995,26,10,0.46464646464646464
37,163,[3],57,CNN,a,0.0001568551140556583,0.26596381417221215,16,10,0.5131195335276968
38,158,[5],71,CNN,a,6.11069783151452e-05,0.2636874653309613,16,10,0.4338983050847458
39,143,[2],57,CNN,a,0.00015058940333721407,0.35251852056844524,11,10,0.43884892086330934
40,169,"[7, 8, 6, 2]",62,CNN,a,0.00019429366691424866,0.3315905164475381,21,10,0.4485981308411215
41,184,[3],47,CNN,a,0.00029999925577868844,0.2542078648143129,20,9,0.5257452574525745
42,160,[3],48,CNN,a,0.00010700601281004085,0.2648927279175223,17,9,0.46706586826347307
43,200,[3],69,CNN,a,0.00017875874852057235,0.3945818327667977,14,10,0.4736842105263158
44,172,[4],53,CNN,a,0.0002988813464242256,0.2513732820541066,21,6,0.5073746312684365
45,12,"[2, 7, 8, 6, 8]",46,CNN,a,8.10999172132166e-05,0.2852470598904412,9,8,0.3022222222222222
46,146,[3],76,CNN,a,4.334360880328606e-05,0.2082395920457095,20,9,0.3773584905660377
47,188,[4],64,CNN,a,1.7078529590270805e-05,0.3118779080008521,25,10,0.3571428571428571
48,160,"[5, 2]",56,CNN,a,7.053244357178723e-06,0.49470264288077154,16,10,0.19689119170984454
49,39,"[4, 7, 3, 7]",41,CNN,a,0.00036496186777095835,0.38853731647363654,13,9,0.46583850931677023
50,136,[3],60,CNN,a,0.00022084533298898592,0.24102653457008483,32,8,0.5273972602739726
51,173,[3],67,CNN,a,0.00021214497113091185,0.2395593249018051,32,8,0.4854368932038835
52,141,[3],60,CNN,a,1.6250077770769867e-06,0.2841872102578885,40,9,0.0
53,129,[2],72,CNN,a,0.00011981196102975405,0.21137008017449146,28,8,0.46875000000000006
54,117,[3],52,CNN,a,0.0007814887255379539,0.16898256008943616,35,9,0.4723926380368098
55,136,"[4, 2]",46,CNN,a,0.0002754229875081031,0.2366396703471196,38,9,0.5
56,152,"[3, 5, 6, 4, 5, 2]",58,CNN,a,0.00017227027144338099,0.4641842546080709,45,8,0.488599348534202
57,164,"[4, 6]",49,CNN,a,1.1829450929334045e-06,0.27349682630876176,33,10,0.053691275167785234
58,183,[2],61,CNN,a,7.524697599291575e-05,0.3105576882439699,30,7,0.5015673981191222
59,193,"[4, 2, 4, 7, 6]",33,CNN,a,0.00037863443817905384,0.03576406474173845,28,9,0.0
