trial_number,num_filters,filter_sizes,hidden_dim,model_type,subtask,lr,dropout,num_epochs,patience,Accuracy
0,48,"[7, 8, 5, 6, 2]",100,CNN,b,0.000522155407649847,0.41330582692284423,9,8,0.6542261251372119
1,78,"[5, 3, 6, 5, 3]",20,CNN,b,0.0006104340624092233,0.3278273135789985,37,9,0.721185510428101
2,84,"[4, 3]",28,CNN,b,0.0002451458886358228,0.35579961607260263,40,7,0.6641053787047201
3,115,"[6, 7, 2, 6, 4, 3]",91,CNN,b,7.231798122184625e-06,0.4311841660526619,13,10,0.6706915477497256
4,192,"[5, 8]",19,CNN,b,0.0002907141789950598,0.380092405602324,11,8,0.6948408342480791
5,193,"[4, 3]",86,CNN,b,1.3445863500391405e-05,0.3572838677071925,46,5,0.6959385290889133
6,58,"[3, 4, 5, 7, 6]",21,CNN,b,0.00015136126192361838,0.37249620418441376,16,5,0.6981339187705817
7,97,"[4, 3, 8, 5]",21,CNN,b,1.3615819263969181e-05,0.08353969230633357,18,8,0.677277716794731
8,127,"[7, 3, 7]",28,CNN,b,5.502821414629529e-06,0.37853028738859423,31,5,0.6509330406147091
9,171,"[2, 7, 4, 6, 3]",85,CNN,b,4.857295544826382e-05,0.3648087064463563,35,6,0.6904500548847421
10,14,"[8, 5, 7, 2, 8, 8]",56,CNN,b,1.9904195083920577e-06,0.20570329697935802,50,10,0.6498353457738749
11,60,"[2, 5, 5, 8]",44,CNN,b,8.863247016476842e-05,0.24415233870963526,21,7,0.6794731064763996
12,35,"[3, 2, 3, 4, 6]",11,CNN,b,0.0009125072888848242,0.28021818742718907,27,9,0.712403951701427
13,10,"[5, 2, 2, 3]",12,CNN,b,0.0009328789547711786,0.15263377065168543,25,9,0.7244785949506037
14,13,"[5, 2, 2]",44,CNN,b,0.0008928580920290604,0.15712083935044419,26,9,0.6893523600439078
15,142,[6],66,CNN,b,0.00034817952685546453,0.0033401098690941655,37,9,0.6794731064763996
16,78,"[6, 2, 6, 3]",38,CNN,b,7.832662662474148e-05,0.48240694460936595,42,10,0.6882546652030735
17,36,"[5, 4, 4, 4, 2, 7]",63,CNN,b,0.0009723488027738257,0.13887878018173255,32,9,0.6520307354555434
