trial_number,hidden_dim,model_type,subtask,lr,dropout,num_epochs,patience,F1
0,74,LSTM,a,0.00016213251873439767,0.4574606850935133,42,6,0.015384615384615384
1,26,LSTM,a,4.800244150118313e-06,0.0027466698606642415,8,9,0.36699857752489334
2,92,LSTM,a,0.0004484124308699918,0.2037710281329274,19,10,0.4984615384615385
3,87,LSTM,a,5.011921363671902e-06,0.20860321676847382,44,9,0.36467236467236464
4,52,LSTM,a,2.5887107101571703e-06,0.32469788297318286,14,5,0.0
5,10,LSTM,a,4.184581363740734e-06,0.21973932217249287,17,5,0.0
6,78,LSTM,a,0.0003676382396226835,0.42711504598576716,11,10,0.46258503401360546
7,83,LSTM,a,2.2795476743534984e-05,0.3231548101013628,10,10,0.015384615384615384
8,98,LSTM,a,0.00021263108431295396,0.00872838161018935,15,9,0.4514285714285714
9,22,LSTM,a,1.2157713709989853e-06,0.10784808952248948,33,5,0.36699857752489334
10,54,LSTM,a,4.6378395539472935e-05,0.1277302264867548,28,7,0.0
11,67,LSTM,a,0.000920542270597213,0.490269515246626,23,10,0.46984126984126984
12,64,LSTM,a,0.0009946798575382124,0.3333153072398587,23,8,0.472885032537961
13,42,LSTM,a,0.0007488179150203651,0.33991161040301066,22,8,0.47466666666666674
14,41,LSTM,a,6.870708462690863e-05,0.3816074413358259,30,8,0.014925373134328356
15,40,LSTM,a,0.0003858221804547075,0.2610946285305522,35,7,0.0
16,95,LSTM,a,1.6856044398463922e-05,0.14855359845978505,22,8,0.36467236467236464
17,39,LSTM,a,0.00010152164525270292,0.2666224464918414,50,9,0.36699857752489334
18,48,LSTM,a,0.00048127676063397626,0.17455780048087688,20,6,0.4660766961651917
19,28,LSTM,a,1.1895377670427005e-05,0.08416857367755885,5,7,0.36699857752489334
20,63,LSTM,a,0.00018230072606489436,0.379153305546302,36,10,0.4317617866004963
21,65,LSTM,a,0.0008661414369797156,0.3235868672589965,26,8,0.46625766871165647
22,92,LSTM,a,0.0009787396467162363,0.29562645441374047,19,8,0.45930232558139533
23,60,LSTM,a,0.00042895432593287417,0.3736384411720064,25,9,0.4689265536723164
24,72,LSTM,a,0.0005877570190860628,0.2142288244852029,30,6,0.4850299401197604
25,74,LSTM,a,0.00026655229119805485,0.20719663132563262,39,6,0.49132947976878605
26,77,LSTM,a,0.00010245247203932974,0.20624792350916987,40,6,0.015267175572519083
27,72,LSTM,a,0.00027725759007726894,0.07605897425928382,30,6,0.517948717948718
28,87,LSTM,a,0.0002651764097722123,0.0605340934618407,38,6,0.4881889763779528
