trial_number,hidden_dim,model_type,subtask,lr,dropout,num_epochs,patience,Accuracy
0,43,LSTM,b,5.7591031943574725e-06,0.07507566655054604,29,10,0.37102085620197583
1,95,LSTM,b,4.6473714477197234e-05,0.07765194426642447,32,6,0.6300768386388584
2,70,LSTM,b,1.559327588789411e-06,0.018467515392749767,44,8,0.37102085620197583
3,23,LSTM,b,0.0001019518561202606,0.19617755085003136,30,7,0.6311745334796927
4,44,LSTM,b,1.4048390046859945e-05,0.005288077200197028,37,9,0.37102085620197583
5,15,LSTM,b,0.00020112832975151436,0.25170772376399003,7,10,0.6289791437980241
6,49,LSTM,b,3.6460689501244775e-05,0.34488723703097923,48,5,0.6300768386388584
7,61,LSTM,b,0.00028453203080614745,0.10596988671656998,22,10,0.6652030735455543
8,75,LSTM,b,6.043407422803911e-05,0.4450111093148067,48,8,0.3699231613611416
9,11,LSTM,b,1.2057172083505655e-05,0.2571872465501348,25,8,0.6311745334796927
10,69,LSTM,b,0.0007255187821937084,0.1537391338188599,16,10,0.41602634467618005
11,28,LSTM,b,0.00030377903082445384,0.16685446376922827,20,6,0.6663007683863886
12,30,LSTM,b,0.0007512626174363243,0.1500267781240464,18,6,0.6882546652030735
13,30,LSTM,b,0.0009820500093125724,0.3308449385428361,15,6,0.681668496158068
14,32,LSTM,b,0.0009507500342507433,0.3686888339774095,10,5,0.7069154774972558
15,36,LSTM,b,0.0005283630617883039,0.49158491968711127,5,5,0.37980241492864986
16,36,LSTM,b,0.00012111192817033001,0.37640106740785656,11,5,0.6289791437980241
17,56,LSTM,b,0.000372176209553963,0.31795133814222665,12,7,0.6278814489571899
18,22,LSTM,b,0.00015496401717063352,0.4329665435823298,18,6,0.37102085620197583
19,90,LSTM,b,0.0008762350548409649,0.21464903938025842,9,5,0.3699231613611416
20,19,LSTM,b,1.1913686004825769e-06,0.29270142308189045,13,7,0.6289791437980241
21,31,LSTM,b,0.0007986335987013144,0.38436690115205163,16,6,0.6926454445664105
22,35,LSTM,b,0.0004806033149198753,0.3856845516853654,23,6,0.6882546652030735
23,39,LSTM,b,0.00042439641503439363,0.3950668456048553,24,5,0.3721185510428101
24,50,LSTM,b,0.0009252230096272659,0.4875316394982258,19,6,0.3699231613611416
